"Région","District","Catégorie","Sous-catégorie","Désignation","Valeur"
"NAWA","District des Lagunes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",21494
"GBÔKLE","District des Lagunes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",9318
"SAN-PEDRO","District de San-Pedro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",11939
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",9004
"SUD-COMOE","District du Sud-Comoé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",10399
"GÔH","District du Gôh-Djiboua","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",14950
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",13734
"BELIER","District du Bélier","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",5024
"IFFOU","District de l'Iffou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",4678
"MORONOU","District du Moronou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",5569
"N'ZI","District du N'Zi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",4004
